BARRIO,NOMBRE_BARRIO,NOMBRE_COMUNA
1605,San Bernardo,BELEN
0314,San José la Cima No. 1,MANRIQUE
0306,El Pomar,MANRIQUE
0723,Pajarito,ROBLEDO
5002,La Frisola,PALMITAS
7001,Altavista Sector Central,ALTAVISTA
5003,Volcana Guayabal,PALMITAS
5004,Palmitas Sector Central,PALMITAS
0108,El Compromiso,POPULAR
1010,Centro Administrativo,LA CANDELARIA
1312,Betania,SAN JAVIER
1309,San Javier No.1,SAN JAVIER
0707,Bosques de San Pablo,ROBLEDO
1317,Eduardo Santos,SAN JAVIER
5006,Potrera Miserenga,PALMITAS
6000,Cabecera Urbana San Cristobal,SAN CRISTOBAL
0809,Sucre,VILLA HERMOSA
0501,Toscana,CASTILLA
0703,San Germán,ROBLEDO
0408,San Pedro,ARANJUEZ
0509,Girardot,CASTILLA
1403,Villa Carlota,EL POBLADO
0911,Gerona,BUENOS AIRES
1618,Nueva Villa de Aburrá,BELEN
0504,Tejelo,CASTILLA
1105,Los Conquistadores,LAURELES
1313,El Corazón,SAN JAVIER
6016,Boqueron,SAN CRISTOBAL
1016,Boston,LA CANDELARIA
0817,La Sierra,VILLA HERMOSA
1501,El Rodeo,GUAYABAL
1423,Santa María de los Ángeles,EL POBLADO
1407,Las Lomas No.2,EL POBLADO
1412,San Lucas,EL POBLADO
0315,San José la Cima No.2,MANRIQUE
0902,Barrio de Jesús,BUENOS AIRES
1107,Bolivariana,LAURELES
0601,Santander,DOCE DE OCTUBRE
0718,Cucaracho,ROBLEDO
1607,Diego Echavarría,BELEN
9012,Piedra Gorda,SANTA ELENA
5001,La Suiza,PALMITAS
7096,Area De Expansion Altavista,ALTAVISTA
7002,Aguas Frias,ALTAVISTA
9006,Santa Elena Sector Central,SANTA ELENA
1308,San Javier No.2,SAN JAVIER
7097,Area De Expansion Belen Rincon,ALTAVISTA
1410,Los Naranjos,EL POBLADO
0310,Versalles No. 2,MANRIQUE
6097,Area de Expansion Altos de Calasanz,SAN CRISTOBAL
0810,El Pinal,VILLA HERMOSA
0608,Picacho,DOCE DE OCTUBRE
0819,Villa Liliam,VILLA HERMOSA
6085,Suburbano La Palma-El Patio,SAN CRISTOBAL
9089,Suburbano Matasano 1,SANTA ELENA
9079,Suburbano Piedra Gorda,SANTA ELENA
1210,Barrio Cristóbal,LA AMERICA
1005,Estación Villa,LA CANDELARIA
0720,Santa Margarita,ROBLEDO
0203,Pablo VI,SANTA CRUZ
1009,La Alpujarra,LA CANDELARIA
6001,La Loma,SAN CRISTOBAL
0814,San Antonio,VILLA HERMOSA
0610,Mirador del Doce,DOCE DE OCTUBRE
7098,Area De Expansion El Noral,ALTAVISTA
0404,Bermejal-Los Alamos,ARANJUEZ
9011,Piedras Blancas Represa,SANTA ELENA
7085,San Pablo,ALTAVISTA
7088,El Corazon El Morro ,ALTAVISTA
0401,Berlin,ARANJUEZ
0402,San Isidro,ARANJUEZ
0807,Los Mangos,VILLA HERMOSA
0903,Bomboná No. 2,BUENOS AIRES
8007,El Astillero,SAN ANTONIO DE PRADO
1413,El Diamante No. 2,EL POBLADO
0712,Aures No. 2,ROBLEDO
1416,Alejandría,EL POBLADO
0112,Carpinelo,POPULAR
1604,Granada,BELEN
1104,San Joaquín,LAURELES
6089,Suburbano Pedregal alto,SAN CRISTOBAL
1314,Las Independencias,SAN JAVIER
1417,La Florida,EL POBLADO
0909,Cataluña,BUENOS AIRES
0416,Jardín Botánico,ARANJUEZ
0201,La Isla,SANTA CRUZ
5007,La Urquita,PALMITAS
8001,El Vergel,SAN ANTONIO DE PRADO
1102,Suramericana,LAURELES
0901,Juan Pablo II,BUENOS AIRES
1211,Simón Bolívar,LA AMERICA
0604,Pedregal,DOCE DE OCTUBRE
7089,San Jose Del Manzanillo,ALTAVISTA
1422,La Aguacatala,EL POBLADO
1316,El Salado,SAN JAVIER
0912,El Salvador,BUENOS AIRES
0405,Moravia,ARANJUEZ
0506,Plaza de Ferias,CASTILLA
0412,La Piñuela,ARANJUEZ
9081,Suburbano El Placer,SANTA ELENA
9007,El Placer,SANTA ELENA
9084,Suburbano Santa Elena Central,SANTA ELENA
0209,Moscú No. 1,SANTA CRUZ
1004,El Chagualo,LA CANDELARIA
1614,La Palma,BELEN
0410,Campo Valdés No. 1,ARANJUEZ
1315,Nuevos Conquistadores,SAN JAVIER
6008,Travesías,SAN CRISTOBAL
1405,Lalinde,EL POBLADO
1007,Guayaquil,LA CANDELARIA
0305,El Raizal,MANRIQUE
1019,La Candelaria,LA CANDELARIA
0710,López de Mesa,ROBLEDO
0407,Sevilla,ARANJUEZ
7086,Suburbano Aguas Frias,ALTAVISTA
