"barrio_mapa","accidentes","tasa_graves","riesgo"
"Miranda",880,0.6,"Medio"
"U.D. Atanasio Girardot",253,0.54,"Bajo"
"Patio Bonito",756,0.4,"Medio"
"Manrique Oriental",716,0.73,"Medio"
"La Esperanza No.2",90,0.77,"Bajo"
"Pedregal",716,0.81,"Medio"
"Prado",1679,0.56,"Alto"
"El Diamante No.2",228,0.37,"Bajo"
"Nueva Villa del Aburrá",142,0.52,"Bajo"
"Villa del Socorro",344,0.68,"Bajo"
"Trece de Noviembre",44,0.39,"Bajo"
"Doce de Octubre No.1",410,0.82,"Medio"
"La Loma de Los Bernal",27,0.37,"Bajo"
"Juan Pablo II",29,0.83,"Bajo"
"Villa Flora",644,0.63,"Medio"
"Tenche",824,0.5,"Medio"
"Fátima",904,0.53,"Medio"
"Oleoducto",312,0.61,"Bajo"
"Boyacá",437,0.65,"Medio"
"Aldea Pablo VI",63,0.84,"Bajo"
"Villa Hermosa",442,0.74,"Medio"
"Las Lomas No.1",424,0.36,"Bajo"
"Santa Cruz",242,0.77,"Bajo"
"Betania",91,0.8,"Bajo"
"Kennedy",735,0.73,"Medio"
"Santa Fé",2661,0.56,"Alto"
"Terminal de Transporte",2403,0.46,"Alto"
"Facultad de Minas",NA,NA,NA
"La Rosa",179,0.8,"Bajo"
"El Tesoro",476,0.36,"Bajo"
"Monteclaro",75,0.77,"Bajo"
"La Mansión",234,0.69,"Bajo"
"La Florida",NA,NA,NA
"Diego Echavarría",342,0.48,"Bajo"
"Los Alcázares",374,0.64,"Medio"
"Campo Valdés No.1",977,0.75,"Medio"
"San Benito",2859,0.44,"Alto"
"Carlos E. Restrepo",2441,0.46,"Alto"
"Robledo",842,0.7,"Medio"
"Juan XXIII La Quiebra",138,0.7,"Bajo"
"Veinte de Julio",302,0.79,"Bajo"
"Altamira",657,0.66,"Medio"
"Hospital San Vicente de Paúl",101,0.48,"Bajo"
"Las Lomas No.2",227,0.44,"Bajo"
"Tricentenario",766,0.55,"Medio"
"Villa Niza",135,0.7,"Bajo"
"Laureles",1240,0.45,"Medio"
"Santa Rosa de Lima",20,0.75,"Bajo"
"Santa Lucía",208,0.67,"Bajo"
"La Floresta",590,0.56,"Medio"
"Las Mercedes",282,0.63,"Bajo"
"Boston",1870,0.53,"Alto"
"Nueva Villa de La Iguaná",339,0.62,"Bajo"
"El Castillo",227,0.28,"Bajo"
"San José La Cima No.1",31,0.77,"Bajo"
"El Raizal",380,0.74,"Medio"
"Villa Guadalupe",282,0.74,"Bajo"
"El Poblado",1020,0.32,"Medio"
"Trinidad",888,0.6,"Medio"
"La Palma",532,0.58,"Medio"
"Naranjal",NA,NA,NA
"Doce de Octubre No.2",508,0.79,"Medio"
"Granizal",278,0.62,"Bajo"
"San Bernardo",820,0.6,"Medio"
"Santo Domingo Savio No.1",411,0.77,"Medio"
"El Danubio",323,0.66,"Bajo"
"La Avanzada",78,0.74,"Bajo"
"Perpetuo Socorro",3326,0.47,"Alto"
"San Lucas",134,0.26,"Bajo"
"Media Luna",27,0.85,"Bajo"
"Barro Blanco",NA,NA,NA
"Piedra Gorda",NA,NA,NA
"San Pablo",NA,NA,NA
"Calasanz Parte Alta",354,0.55,"Bajo"
"Aguas Frías",78,0.74,"Bajo"
"Playón de Los Comuneros",246,0.7,"Bajo"
"Alejandro Echavarría",676,0.73,"Medio"
"Picacho",626,0.79,"Medio"
"Moscú No.2",264,0.81,"Bajo"
"El Chagualo",1735,0.52,"Alto"
"Cristo Rey",1631,0.53,"Alto"
"Los Conquistadores",3053,0.44,"Alto"
"Asomadera No.3",112,0.45,"Bajo"
"La Gloria",783,0.59,"Medio"
"El Pesebre",145,0.69,"Bajo"
"Lalinde",124,0.39,"Bajo"
"Manrique Central No.1",914,0.68,"Medio"
"Las Independencias",61,0.85,"Bajo"
"Parque Juan Pablo II",556,0.61,"Medio"
"Moscú No.1",272,0.65,"Bajo"
"Bosques de San Pablo",307,0.54,"Bajo"
"Los Mangos",417,0.73,"Medio"
"Los Cerros El Vergel",204,0.68,"Bajo"
"Miravalle",72,0.53,"Bajo"
"El Rodeo",128,0.62,"Bajo"
"La Milagrosa",401,0.64,"Medio"
"Alfonso López",962,0.68,"Medio"
"Olaya Herrera",137,0.79,"Bajo"
"Facultad Veterinaria y Zootecnia U.de.A.",206,0.54,"Bajo"
"Astorga",245,0.34,"Bajo"
"Caribe",3621,0.51,"Alto"
"Aranjuez",306,0.72,"Bajo"
"Manrique Central No.2",569,0.74,"Medio"
"San Antonio",22,0.77,"Bajo"
"El Rincón",695,0.63,"Medio"
"Sin Nombre",NA,NA,NA
"Calasanz",659,0.48,"Bajo"
"Bermejal-Los Álamos",200,0.7,"Bajo"
"Jesús Nazareno",1619,0.55,"Alto"
"Ocho de Marzo",50,0.76,"Bajo"
"Belencito",127,0.75,"Bajo"
"Cerro Nutibara",572,0.56,"Medio"
"Simón Bolívar",335,0.55,"Bajo"
"Cucaracho",834,0.75,"Medio"
"Universidad de Antioquia",688,0.54,"Medio"
"San Javier No.2",243,0.67,"Bajo"
"Brasilia",400,0.75,"Medio"
"Bolivariana",758,0.5,"Medio"
"Berlín",662,0.7,"Medio"
"El Velódromo",549,0.54,"Medio"
"Santa Mónica",336,0.66,"Bajo"
"Belén",1985,0.45,"Alto"
"El Pomar",270,0.8,"Bajo"
"Oriente",68,0.84,"Bajo"
"La Isla",155,0.74,"Bajo"
"La Sierra",17,0.82,"Bajo"
"María Cano-Carambolas",57,0.79,"Bajo"
"La Pilarica",349,0.55,"Bajo"
"El Corazón",92,0.76,"Bajo"
"Calle Nueva",1298,0.39,"Medio"
