"","BARRIO","cluster"
"1","Aguas Frías","Moderado"
"2","Aldea Pablo VI","Moderado"
"3","Alejandría","Bajo"
"4","Alejandro Echavarría","Moderado"
"5","Alfonso López","Moderado"
"6","Altamira","Bajo"
"7","Altavista","Bajo"
"8","Altavista Sector Central","Moderado"
"9","Altos del Poblado","Bajo"
"10","Andalucía","Moderado"
"11","Antonio Nariño","Moderado"
"12","Aranjuez","Moderado"
"13","Área de expansión Altavista","Moderado"
"14","Área de expansión Altos de Calasanz","Bajo"
"15","Área de expansión Belén Rincón","Bajo"
"16","Área de expansión Pajarito","Moderado"
"17","Área de expansión San Antonio de Prado","Moderado"
"18","Asomadera No. 1","Bajo"
"19","Asomadera No. 2","Bajo"
"20","Asomadera No. 3","Bajo"
"21","Astorga","Bajo"
"22","Aures No. 1","Moderado"
"23","Aures No. 2","Moderado"
"24","Barrio Caicedo","Moderado"
"25","Barrio Cerro El Volador","Moderado"
"26","Barrio Colombia","Bajo"
"27","Barrio Colón","Alto"
"28","Barrio Cristóbal","Bajo"
"29","Barrio de Jesús","Moderado"
"30","Batallón Girardot","Moderado"
"31","Belalcázar","Bajo"
"32","Belén","Alto"
"33","Belencito","Moderado"
"34","Bello Horizonte","Moderado"
"35","Berlín","Moderado"
"36","Bermejal - Los Álamos","Moderado"
"37","Betania","Moderado"
"38","Blanquizal","Moderado"
"39","Bolivariana","Bajo"
"40","Bomboná No. 1","Bajo"
"41","Bomboná No. 2","Moderado"
"42","Boquerón","Moderado"
"43","Bosques de San Pablo","Bajo"
"44","Boston","Alto"
"45","Boyacá","Moderado"
"46","Brasilia","Moderado"
"47","Buenos Aires","Bajo"
"48","Buga Patio Bonito","Moderado"
"49","Cabecera San Antonio de Prado","Alto"
"50","Cabecera Urbana San Cristóbal","Moderado"
"51","Calasanz","Bajo"
"52","Calasanz Parte Alta","Bajo"
"53","Calle Nueva","Alto"
"54","Campo Alegre","Moderado"
"55","Campo Amor","Alto"
"56","Campo Valdés No. 1","Moderado"
"57","Campo Valdés No. 2","Moderado"
"58","Caribe","Alto"
"59","Carlos E. Restrepo","Alto"
"60","Carpinelo","Moderado"
"61","Castilla","Alto"
"62","Castropol","Bajo"
"63","Cataluña","Bajo"
"64","Cementerio Universal","Bajo"
"65","Centro Administrativo","Bajo"
"66","Cerro Nutibara","Bajo"
"67","Corazón de Jesús","Alto"
"68","Córdoba","Moderado"
"69","Cristo Rey","Alto"
"70","Cuarta Brigada","Bajo"
"71","Cucaracho","Moderado"
"72","Diego Echavarría","Bajo"
"73","Doce de Octubre No. 1","Moderado"
"74","Doce de Octubre No. 2","Moderado"
"75","Eduardo Santos","Moderado"
"76","El Astillero","Moderado"
"77","El Castillo","Bajo"
"78","El Chagualo","Alto"
"79","El Compromiso","Moderado"
"80","El Corazón","Moderado"
"81","El Corazón - El Morro","Moderado"
"82","El Danubio","Moderado"
"83","El Diamante","Moderado"
"84","El Diamante No. 2","Bajo"
"85","El Estadio","Bajo"
"86","El Llano SE","Bajo"
"87","El Nogal - Los Almendros","Bajo"
"88","El Pesebre","Moderado"
"89","El Picacho","Moderado"
"90","El Pinal","Moderado"
"91","El Plan","Moderado"
"92","El Poblado","Bajo"
"93","El Pomar","Moderado"
"94","El Progreso","Alto"
"95","El Progreso No. 2","Moderado"
"96","El Raizal","Moderado"
"97","El Rincón","Bajo"
"98","El Rodeo","Moderado"
"99","El Salado","Moderado"
"100","El Salvador","Moderado"
"101","El Socorro","Moderado"
"102","El Tesoro","Bajo"
"103","El Triunfo","Moderado"
"104","El Uvito","Moderado"
"105","El Velódromo","Bajo"
"106","El Vergel","Moderado"
"107","Enciso","Moderado"
"108","Estación Villa","Bajo"
"109","Facultad de Minas U. Nacional","Bajo"
"110","Facultad Veterinaria y Zootecnia U.de.A.","Bajo"
"111","Fátima","Bajo"
"112","Ferrini","Bajo"
"113","Florencia","Moderado"
"114","Florida Nueva","Bajo"
"115","Francisco Antonio Zea","Moderado"
"116","Fuente Clara","Moderado"
"117","Gerona","Moderado"
"118","Girardot","Moderado"
"119","Granada","Bajo"
"120","Granizal","Moderado"
"121","Guayabal","Alto"
"122","Guayaquil","Alto"
"123","Héctor Abad Gómez","Bajo"
"124","Hospital San Vicente de Paúl","Bajo"
"125","Jardín Botánico","Bajo"
"126","Jesús Nazareno","Alto"
"127","Juan Pablo II","Moderado"
"128","Juan XXIII La Quiebra","Moderado"
"129","Kennedy","Moderado"
"130","La Aguacatala","Alto"
"131","La Alpujarra","Alto"
"132","La América","Bajo"
"133","La Avanzada","Moderado"
"134","La Candelaria","Alto"
"135","La Castellana","Bajo"
"136","La Colina","Bajo"
"137","La Cruz","Moderado"
"138","La Esperanza","Moderado"
"139","La Esperanza No. 2","Moderado"
"140","La Floresta","Bajo"
"141","La Florida","Bajo"
"142","La Francia","Moderado"
"143","La Frisola","Moderado"
"144","La Frontera","Moderado"
"145","La Gloria","Bajo"
"146","La Hondonada","Bajo"
"147","La Isla","Moderado"
"148","La Ladera","Moderado"
"149","La Libertad","Moderado"
"150","La Loma","Moderado"
"151","La Loma Oriental","Moderado"
"152","La Mansión","Moderado"
"153","La Milagrosa","Moderado"
"154","La Mota","Bajo"
"155","La Oculta","Moderado"
"156","La Palma","Bajo"
"157","La Pilarica","Bajo"
"158","La Piñuela","Moderado"
"159","La Pradera","Moderado"
"160","La Rosa","Moderado"
"161","La Salle","Moderado"
"162","La Sierra","Moderado"
"163","La Verde","Bajo"
"164","Lalinde","Bajo"
"165","Las Acacias","Bajo"
"166","Las Brisas","Bajo"
"167","Las Esmeraldas","Moderado"
"168","Las Estancias","Moderado"
"169","Las Granjas","Moderado"
"170","Las Independencias","Moderado"
"171","Las Lomas No. 1","Bajo"
"172","Las Lomas No. 2","Bajo"
"173","Las Mercedes","Bajo"
"174","Las Palmas","Bajo"
"175","Las Playas","Bajo"
"176","Las Violetas","Moderado"
"177","Laureles","Bajo"
"178","Llanaditas","Moderado"
"179","Loma de los Bernal","Bajo"
"180","López de Mesa","Moderado"
"181","Lorena","Bajo"
"182","Loreto","Moderado"
"183","Los Alcázares","Moderado"
"184","Los Alpes","Bajo"
"185","Los Ángeles","Bajo"
"186","Los Balsos No. 1","Bajo"
"187","Los Balsos No. 2","Bajo"
"188","Los Cerros El Vergel","Moderado"
"189","Los Colores","Alto"
"190","Los Conquistadores","Alto"
"191","Los Mangos","Moderado"
"192","Los Naranjos","Bajo"
"193","Los Pinos","Bajo"
"194","Manila","Alto"
"195","Manrique Central No. 1","Moderado"
"196","Manrique Central No. 2","Moderado"
"197","Manrique Oriental","Moderado"
"198","María Cano Carambolas","Moderado"
"199","Media Luna","Moderado"
"200","Metropolitano","Moderado"
"201","Mirador del Doce","Moderado"
"202","Miraflores","Moderado"
"203","Miranda","Bajo"
"204","Miravalle","Bajo"
"205","Monteclaro","Moderado"
"206","Moravia","Bajo"
"207","Moscú No. 1","Moderado"
"208","Moscú No. 2","Moderado"
"209","Naranjal","Alto"
"210","Nueva Villa de Aburrá","Bajo"
"211","Nueva Villa de la Iguaná","Bajo"
"212","Nuevos Conquistadores","Moderado"
"213","Ocho de Marzo","Moderado"
"214","Olaya Herrera","Moderado"
"215","Oleoducto","Moderado"
"216","Oriente","Moderado"
"217","Pablo VI","Moderado"
"218","Pajarito","Moderado"
"219","Palenque","Bajo"
"220","Palermo","Moderado"
